NAME,PRICE,IMAGE,DETAILS,STOCK
"HARMAN technology Phoenix 200 Color Negative Film (35mm Roll Film, 36 Exposures)",10.99,https://static.bhphoto.com/images/images345x345/1701433221_1790521.jpg,"Daylight-Balanced Color Negative Film,ISO 200/24° in C-41 Process,Punchy Contrast and Vibrant Color,DX-Coded Film Canister",In Stock
"FUJIFILM 200 Color Negative Film (35mm Roll Film, 36 Exposures, 3-Pack)",22.99,https://static.bhphoto.com/images/images345x345/1643217626_1681580.jpg,"Daylight-Balanced Color Negative Film,ISO 200/24° in C-41 Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"Kodak ColorPlus 200 Color Negative Film (35mm Roll Film, 36 Exposures)",8.49,https://static.bhphoto.com/images/images345x345/1557138072_1476366.jpg,"Daylight-Balanced Color Negative Film,ISO 200/24° in C-41 Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"Kodak Pro Image 100 Color Negative Film (35mm Roll Film, 36 Exposures, 5-Pack)",39.95,https://static.bhphoto.com/images/images345x345/1600364759_1476367.jpg,"Daylight-Balanced Color Negative Film,ISO 100/21° in C-41 Process,High Color Saturation,Accurate Rendering and Skin Tones",In Stock
"Kodak GOLD 200 Color Negative Film (35mm Roll Film, 24 Exposures, 3-Pack)",19.95,https://static.bhphoto.com/images/images345x345/1421062660_826727.jpg,"Daylight-Balanced Color Negative Film,ISO 200/24° in C-41 Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"Kentmere Pan 400 Black and White Negative Film (35mm Roll Film, 36 Exposures)",6.5,https://static.bhphoto.com/images/images345x345/1657731926_601021.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Fine Grain and Good Sharpness,Broad Tonal and Contrast Range",In Stock
"Kodak Professional Ektachrome E100 Color Transparency Film (35mm Roll Film, 36 Exposures)",21.99,https://static.bhphoto.com/images/images345x345/1538663766_274846.jpg,"Daylight-Balance Color Transparency Film,ISO 100/21° in E-6 Process,Extremely Fine Grain Structure,Vibrant Colors and Low D-Min",In Stock
"CineStill Film 400Dynamic Color Negative Film (35mm Roll Film, 36 Exposures)",15.99,https://static.bhphoto.com/images/images345x345/1651486900_1702256.jpg,"Daylight Balanced Color Negative Film,ISO 400/27° in C-41 Process,Wide Exposure Latitude,Balanced Tones and Medium Contrast",In Stock
"FUJIFILM 400 Color Negative Film (35mm Roll Film, 36 Exposures)",8.39,https://static.bhphoto.com/images/images345x345/1679566253_1759047.jpg,"Consistent and Accurate Colors,ISO 400/27° in C-41 process,Rich Saturation, Optimized Skin Tones,Fine Grain, Wide Exposure Latitude",In Stock
"Kodak Professional T-Max 400 Black and White Negative Film (35mm Roll Film, 36 Exposures)",10.99,https://static.bhphoto.com/images/images345x345/1603382719_29139.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Very Fine Grain, T-GRAIN Emulsion,High Sharpness and Edge Detail",In Stock
"Kodak Professional Portra 160 Color Negative Film (35mm Roll Film, 36 Exposures, 5-Pack)",69.95,https://static.bhphoto.com/images/images345x345/1603371948_759457.jpg,"Daylight-Balanced Color Negative Film,ISO 160/23° in C-41 Process,Very Fine Grain, VISION Film Technology,Medium Color Saturation, Low Contrast",In Stock
"CineStill Film 50Daylight Xpro C-41 Color Negative Film (35mm Roll Film, 36 Exposures)",12.99,https://static.bhphoto.com/images/images345x345/1699272930_1110318.jpg,"Daylight-Balanced Color Negative Film,ISO 50/18° in C-41 or ECN-2 Process,""Premoval"" of Rem-Jet Layer,Unique Halation Effect",In Stock
"Kodak GC/UltraMax 400 Color Negative Film (35mm Roll Film, 24 Exposures, 3-Pack)",25.99,https://static.bhphoto.com/images/images345x345/1713286544_826744.jpg,"Daylight-Balanced Color Negative Film,ISO 400/27° in C-41 Process,Rich Saturation, Optimized Skin Tones,Fine Grain, Wide Exposure Latitude",In Stock
"Kodak Professional T-Max 100 Black and White Negative Film (35mm Roll Film, 36 Exposures)",9.99,https://static.bhphoto.com/images/images345x345/1249903955_29124.jpg,"Panchromatic B&W Negative Film,ISO 100/21° in Standard Process,Very Fine Grain, T-GRAIN Emulsion,High Sharpness and Resolving Power",In Stock
"Kodak Professional T-Max P3200 Black and White Negative Film (35mm Roll Film, 36 Exposures)",12.99,https://static.bhphoto.com/images/images345x345/1603382719_29146.jpg,"Panchromatic B&W Negative Film,ISO 3200/36° in Standard Process,Fine Grain, T-GRAIN Emulsion,High Sharpness and Edge Detail",In Stock
"Kodak GC/UltraMax 400 Color Negative Film (35mm Roll Film, 24 Exposures)",6.99,https://static.bhphoto.com/images/images345x345/1246618034_27717.jpg,"Daylight-Balanced Color Negative Film,ISO 400/27° in C-41 Process,Rich Saturation, Optimized Skin Tones,Fine Grain, Wide Exposure Latitude",In Stock
"Kodak GOLD 200 Color Negative Film (35mm Roll Film, 24 Exposures)",6.99,https://static.bhphoto.com/images/images345x345/1314900009_27710.jpg,"Daylight-Balanced Color Negative Film,ISO 200/24° in C-41 Process,Fine Grain and High Sharpness,Wide Exposure Latitude",In Stock
"Ilford HP5 Plus Black and White Negative Film (35mm Roll Film, 24 Exposures)",7.95,https://static.bhphoto.com/images/images345x345/1657730125_24741.jpg,"Panchromatic B&W Negative Film,ISO 400/27° in Standard Process,Wide Exposure Latitude, Medium Contrast,Ideal for Mixed Lighting and General Use",In Stock
